company_id,line_id,from_station_id,to_station_id,from_lat,from_lon,to_lat,to_lon
3,112,2968,6659,34.970308,137.061377,34.977466,137.04367299999998
3,112,6659,9496,34.977466,137.04367299999998,34.983591,137.027908
3,112,9496,1310,34.983591,137.027908,34.991134,137.008833
3,112,1310,203,34.991134,137.008833,34.998241,136.990566
3,112,203,5747,34.998241,136.990566,35.008794,136.961819
3,112,5747,1765,35.008794,136.961819,35.035402000000005,136.95454099999998
3,112,1765,9555,35.035402000000005,136.95454099999998,35.054928000000004,136.948513
3,112,9555,5596,35.054928000000004,136.948513,35.06912,136.94009599999998
3,112,5596,1237,35.06912,136.94009599999998,35.09495,136.926374
3,112,1237,7327,35.09495,136.926374,35.129723,136.910596
3,112,7327,1879,35.129723,136.910596,35.142944,136.901208
3,112,1879,7739,35.142944,136.901208,35.146609999999995,136.891403
3,112,7739,8576,35.146609999999995,136.891403,35.170451,136.881095
3,112,8576,7745,35.170451,136.881095,35.19964500000001,136.861205
3,112,7745,4658,35.19964500000001,136.861205,35.225572,136.83451599999998
3,112,4658,485,35.225572,136.83451599999998,35.253208,136.820933
3,112,485,7733,35.253208,136.820933,35.301035,136.797822
3,112,7733,8659,35.301035,136.797822,35.348856,136.780987
3,112,8659,1467,35.348856,136.780987,35.409577,136.756489
3,112,1467,4740,35.409577,136.756489,35.404493,136.723159
3,112,4740,8168,35.404493,136.723159,35.396244,136.693995
3,112,8168,5540,35.396244,136.693995,35.367044,136.617851
3,112,5540,4541,35.367044,136.617851,35.36965900000001,136.53128700000002
3,112,4541,1345,35.36965900000001,136.53128700000002,35.36385300000001,136.470709
3,112,1345,7424,35.36385300000001,136.470709,35.344715,136.402466
3,112,7424,1844,35.344715,136.402466,35.359018,136.374024
3,112,1844,4962,35.359018,136.374024,35.32777100000001,136.345305
3,112,4962,8117,35.32777100000001,136.345305,35.314791,136.289435
3,113,8206,5293,34.762822,137.381075,34.775525,137.374153
3,113,5293,970,34.775525,137.374153,34.780885,137.370625
3,113,970,3685,34.780885,137.370625,34.797771999999995,137.363374
3,113,3685,1685,34.797771999999995,137.363374,34.808521,137.381706
3,113,1685,8229,34.808521,137.381706,34.822631,137.397343
3,113,8229,2969,34.822631,137.397343,34.847934,137.414369
3,113,2969,6224,34.847934,137.414369,34.864378,137.431644
3,113,6224,2440,34.864378,137.431644,34.867905,137.441476
3,113,2440,6732,34.867905,137.441476,34.876126,137.45516899999998
3,113,6732,8735,34.876126,137.45516899999998,34.889070000000004,137.477722
3,113,8735,4267,34.889070000000004,137.477722,34.900929999999995,137.49291499999998
3,113,4267,6739,34.900929999999995,137.49291499999998,34.906124,137.502997
3,113,6739,6005,34.906124,137.502997,34.910208000000004,137.514219
3,113,6005,2986,34.910208000000004,137.514219,34.912096000000005,137.527301
3,113,2986,5536,34.912096000000005,137.527301,34.930068,137.549048
3,113,5536,6285,34.930068,137.549048,34.920624,137.551548
3,113,6285,6225,34.920624,137.551548,34.925874,137.564991
3,113,6225,8491,34.925874,137.564991,34.932596000000004,137.57674
3,113,8491,2981,34.932596000000004,137.57674,34.951789,137.602932
3,113,2981,6903,34.951789,137.602932,34.97037,137.61304099999998
3,113,6903,2992,34.97037,137.61304099999998,34.988571,137.62088400000002
3,113,2992,1202,34.988571,137.62088400000002,34.990563,137.644177
3,113,1202,2979,34.990563,137.644177,35.001479,137.664119
3,113,2979,5944,35.001479,137.664119,35.024367,137.703921
3,113,5944,6638,35.024367,137.703921,35.028811,137.713697
3,113,6638,3575,35.028811,137.713697,35.049308,137.744249
3,113,3575,3960,35.049308,137.744249,35.050003000000004,137.752443
3,113,3960,628,35.050003000000004,137.752443,35.056225,137.763692
3,113,628,5364,35.056225,137.763692,35.060502,137.77508
3,113,5364,956,35.060502,137.77508,35.069364,137.786217
3,113,956,6128,35.069364,137.786217,35.085390000000004,137.802799
3,113,6128,2774,35.085390000000004,137.802799,35.09175,137.809742
3,113,2774,5379,35.09175,137.809742,35.114748,137.854182
3,113,5379,4090,35.114748,137.854182,35.131413,137.861986
3,113,4090,2361,35.131413,137.861986,35.154161,137.869457
3,113,2361,4549,35.154161,137.869457,35.163216,137.870651
3,113,4549,5780,35.163216,137.870651,35.190406,137.818432
3,113,5780,3795,35.190406,137.818432,35.20990399999999,137.835929
3,113,3795,6017,35.20990399999999,137.835929,35.235874,137.834762
3,113,6017,360,35.235874,137.834762,35.253954,137.834734
3,113,360,9191,35.253954,137.834734,35.267231,137.832512
3,113,9191,8063,35.267231,137.832512,35.273425,137.853454
3,113,8063,409,35.273425,137.853454,35.311754,137.84861999999998
3,113,409,896,35.311754,137.84861999999998,35.336168,137.841369
3,113,896,6510,35.336168,137.841369,35.349056,137.83834199999998
3,113,6510,8706,35.349056,137.83834199999998,35.37538400000001,137.814148
3,113,8706,6601,35.37538400000001,137.814148,35.40235399999999,137.810258
3,113,6601,1907,35.40235399999999,137.810258,35.418935,137.817201
3,113,1907,5154,35.418935,137.817201,35.429156,137.816784
3,113,5154,6448,35.429156,137.816784,35.441267,137.817229
3,113,6448,5245,35.441267,137.817229,35.452146,137.815951
3,113,5245,3321,35.452146,137.815951,35.463986,137.827671
3,113,3321,5491,35.463986,137.827671,35.475541,137.83978100000002
3,113,5491,8633,35.475541,137.83978100000002,35.487484,137.839364
3,113,8633,366,35.487484,137.839364,35.496817,137.841669
3,113,366,928,35.496817,137.841669,35.504149,137.839613
3,113,928,6409,35.504149,137.839613,35.506648,137.828364
3,113,6409,5103,35.506648,137.828364,35.512341,137.808976
3,113,5103,7624,35.512341,137.808976,35.519702,137.82114199999998
3,113,7624,2901,35.519702,137.82114199999998,35.522118,137.829586
3,113,2901,362,35.522118,137.829586,35.52014699999999,137.838973
3,113,362,2118,35.52014699999999,137.838973,35.533757,137.861471
3,113,2118,933,35.533757,137.861471,35.544229,137.87641399999998
3,113,933,3222,35.544229,137.87641399999998,35.549255,137.886524
3,113,3222,993,35.549255,137.886524,35.57255900000001,137.895883
3,113,993,3120,35.57255900000001,137.895883,35.577753,137.903438
3,113,3120,364,35.577753,137.903438,35.59569600000001,137.913159
3,113,364,4047,35.59569600000001,137.913159,35.617499,137.904131
3,113,4047,365,35.617499,137.904131,35.627192,137.910324
3,113,365,2541,35.627192,137.910324,35.644579,137.900825
3,113,2541,3371,35.644579,137.900825,35.65477199999999,137.911351
3,113,3371,369,35.65477199999999,137.911351,35.66532700000001,137.932571
3,113,369,7627,35.66532700000001,137.932571,35.677548,137.928877
3,113,7627,6483,35.677548,137.928877,35.695546,137.932931
3,113,6483,367,35.695546,137.932931,35.712211,137.933875
3,113,367,3732,35.712211,137.933875,35.726709,137.935096
3,113,3732,1936,35.726709,137.935096,35.736236,137.936818
3,113,1936,5726,35.736236,137.936818,35.74809600000001,137.940123
3,113,5726,1661,35.74809600000001,137.940123,35.767121,137.938789
3,113,1661,5100,35.767121,137.938789,35.777842,137.943927
3,113,5100,5843,35.777842,137.943927,35.80359,137.943981
3,113,5843,979,35.80359,137.943981,35.81319600000001,137.940263
3,113,979,359,35.81319600000001,137.940263,35.838419,137.959201
3,113,359,368,35.838419,137.959201,35.845279,137.9642
3,113,368,6504,35.845279,137.9642,35.860939,137.97798999999998
3,113,6504,8379,35.860939,137.97798999999998,35.879359,137.98408600000002
3,113,8379,8642,35.879359,137.98408600000002,35.900774,137.988001
3,113,8642,361,35.900774,137.988001,35.913689,137.98861200000002
3,113,361,5835,35.913689,137.98861200000002,35.93640900000001,137.985445
3,113,5835,570,35.93640900000001,137.985445,35.952962,137.985167
3,113,570,363,35.952962,137.985167,35.96876599999999,137.984055
3,113,363,1671,35.96876599999999,137.984055,35.976238,137.990554
3,113,1671,5855,35.976238,137.990554,35.984543,137.99719299999998
3,114,7979,6750,34.853311,136.921022,34.874196999999995,136.92343799999998
3,114,6750,7595,34.874196999999995,136.92343799999998,34.894167,136.93052
3,114,7595,891,34.894167,136.93052,34.903389000000004,136.941435
3,114,891,1525,34.903389000000004,136.941435,34.919054,136.961072
3,114,1525,6633,34.919054,136.961072,34.949717,136.970709
3,114,6633,5061,34.949717,136.970709,34.967966,136.97293
3,114,5061,3618,34.967966,136.97293,34.981437,136.971874
3,114,3618,7735,34.981437,136.971874,34.993990999999994,136.970429
3,114,7735,5747,34.993990999999994,136.970429,35.008794,136.961819
3,243,856,9100,34.925303,137.157263,34.94039,137.151777
3,243,9100,6030,34.94039,137.151777,34.956249,137.152748
3,243,6030,8282,34.956249,137.152748,34.972414,137.157498
3,243,8282,5765,34.972414,137.157498,34.982552,137.154552
3,243,5765,8414,34.982552,137.154552,34.9963,137.139304
3,243,8414,2978,34.9963,137.139304,35.012326,137.132859
3,243,2978,659,35.012326,137.132859,35.027296,137.138886
3,243,659,8531,35.027296,137.138886,35.039615000000005,137.147013
