company_id,line_id,station_id,station_name,lat,lon,x,y
3,112,5500,袋井,34.741347999999995,137.92613400000002,1379261.34,-347413.4799999999
3,112,9771,御厨（静岡県）,34.717967,137.88489099999998,1378848.91,-347179.67000000004
3,112,7643,磐田,34.710239,137.852253,1378522.5299999998,-347102.39
3,112,8243,豊田町,34.712182,137.819756,1378197.56,-347121.82
3,112,6449,天竜川,34.716903,137.779369,1377793.69,-347169.03
3,112,7841,浜松,34.703786,137.735276,1377352.76,-347037.86
3,112,2606,高塚,34.690486,137.68149,1376814.9,-346904.86
3,112,7983,舞阪,34.685596000000004,137.62644,1376264.4,-346855.96
3,112,8156,弁天島,34.690096000000004,137.603025,1376030.25,-346900.96
3,112,4209,新居町,34.694205,137.568888,1375688.88,-346942.05
3,112,9139,鷲津,34.71673,137.546168,1375461.68,-347167.3
3,112,4258,新所原,34.72325,137.484199,1374841.99,-347232.5
3,112,7209,二川,34.725783,137.438954,1374389.54,-347257.83
3,112,8206,豊橋,34.762822,137.381075,1373810.75,-347628.22
3,112,4799,西小坂井,34.797133,137.35257099999998,1373525.7099999997,-347971.33
3,112,193,愛知御津,34.812464,137.316573,1373165.73,-348124.64
3,112,2980,三河大塚,34.815769,137.28290900000002,1372829.09,-348157.69
3,112,2976,三河三谷,34.818462,137.2483,1372483.0,-348184.62
3,112,1269,蒲郡,34.822712,137.22736799999998,1372273.68,-348227.12000000005
3,112,2971,三河塩津,34.825488,137.201471,1372014.71,-348254.88
3,112,2945,三ヶ根,34.836319,137.176751,1371767.51,-348363.19000000006
3,112,2378,幸田,34.859594,137.16458400000002,1371645.84,-348595.94
3,112,9613,相見,34.887535,137.16038899999998,1371603.89,-348875.35
3,112,856,岡崎,34.925303,137.157263,1371572.63,-349253.02999999997
3,112,4724,西岡崎,34.946639000000005,137.122945,1371229.45,-349466.3900000001
3,112,270,安城,34.96047,137.086476,1370864.76,-349604.7
3,112,2968,三河安城,34.970308,137.061377,1370613.77,-349703.08
3,112,6659,東刈谷,34.977466,137.04367299999998,1370436.7299999997,-349774.66
3,112,9496,野田新町,34.983591,137.027908,1370279.08,-349835.91
3,112,1310,刈谷,34.991134,137.008833,1370088.33,-349911.34
3,112,203,逢妻,34.998241,136.990566,1369905.66,-349982.41
3,112,5747,大府,35.008794,136.961819,1369618.19,-350087.94
3,112,1765,共和,35.035402000000005,136.95454099999998,1369545.4099999997,-350354.0200000001
3,112,9555,南大高,35.054928000000004,136.948513,1369485.13,-350549.28
3,112,5596,大高,35.06912,136.94009599999998,1369400.9599999997,-350691.19999999995
3,112,1237,笠寺,35.09495,136.926374,1369263.74,-350949.5
3,112,7327,熱田,35.129723,136.910596,1369105.96,-351297.23
3,112,1879,金山（愛知県）,35.142944,136.901208,1369012.08,-351429.44
3,112,7739,尾頭橋,35.146609999999995,136.891403,1368914.03,-351466.1
3,112,8576,名古屋,35.170451,136.881095,1368810.95,-351704.51
3,112,7745,枇杷島,35.199645000000004,136.861205,1368612.05,-351996.45
3,112,4658,清洲,35.225572,136.83451599999998,1368345.1599999997,-352255.72
3,112,485,稲沢,35.253208,136.820933,1368209.33,-352532.08
3,112,7733,尾張一宮,35.301035,136.797822,1367978.22,-353010.35
3,112,8659,木曽川,35.348856,136.780987,1367809.87,-353488.56
3,112,1467,岐阜,35.409577,136.756489,1367564.89,-354095.76999999996
3,112,4740,西岐阜,35.404493,136.723159,1367231.59,-354044.93000000005
3,112,8168,穂積,35.396244,136.693995,1366939.95,-353962.44
3,112,5540,大垣,35.367044,136.617851,1366178.51,-353670.44
3,112,4541,垂井,35.369659000000006,136.53128700000002,1365312.87,-353696.5900000001
3,112,1345,関ヶ原,35.363853000000006,136.470709,1364707.09,-353638.5300000001
3,112,7424,柏原（滋賀県）,35.344715,136.402466,1364024.6600000001,-353447.15
3,112,1844,近江長岡,35.359018,136.374024,1363740.24,-353590.18
