id,name,lat,lon
2513,行徳,35.679399,139.917453
8561,妙典,35.687917,139.927694
2139,原木中山,35.699805,139.944916
9224,白金台,35.634917,139.729917
9223,白金高輪,35.639833,139.737414
9225,麻布十番,35.651944,139.740306
9227,六本木一丁目,35.6616,139.742081
665,永田町,35.675069,139.743
6780,東大前,35.713777,139.761499
8461,本駒込,35.721305,139.756972
4699,西ヶ原,35.742444,139.745638
843,王子神谷,35.762111,139.738777
3274,志茂,35.774611,139.735999
9268,南千住〔日比谷線〕,35.729188,139.802049
2956,三ノ輪,35.726138,139.794444
7315,入谷（東京都）,35.717083,139.787416
6149,仲御徒町,35.703416,139.779333
3735,小伝馬町,35.687083,139.782
4492,人形町,35.682781,139.785822
5963,築地,35.664666,139.775583
6676,東銀座,35.666194,139.770547
4457,神谷町,35.659388,139.748222
9098,六本木,35.659444,139.734361
2403,広尾,35.648027,139.725472
3508,住吉（東京都）,35.685253,139.819008
9219,清澄白河,35.678892,139.803214
4569,水天宮前,35.680527,139.787778
4473,神保町,35.692598,139.760033
7594,半蔵門,35.682139,139.744944
9109,和光市,35.785142,139.616201
645,地下鉄成増,35.773333,139.634749
646,地下鉄赤塚,35.766555,139.647305
8109,平和台（東京都）,35.754472,139.657582
7817,氷川台,35.746416,139.668666
3729,小竹向原,35.740146,139.682723
5148,千川,35.734972,139.692527
8895,要町,35.729916,139.701471
6784,東池袋,35.722639,139.722194
2314,護国寺,35.715734,139.730767
2424,江戸川橋,35.706469,139.736345
2657,麹町,35.681555,139.740666
2903,桜田門,35.674194,139.755305
1909,銀座一丁目,35.671332,139.769888
4360,新富町（東京都）,35.667444,139.776777
2071,月島,35.661389,139.787833
8223,豊洲,35.650778,139.799056
5854,辰巳,35.642361,139.81375
9538,雑司が谷,35.716978,139.718099
9539,西早稲田,35.704814,139.712316
9222,東新宿,35.696627,139.711016
9540,北参道,35.675547,139.708491
6422,天王洲アイル（モノレール）,35.619722,139.753889
5516,大井競馬場前,35.591806,139.750305
9001,流通センター,35.578056,139.7525
3812,昭和島,35.567222,139.753056
4642,整備場,35.551777,139.756722
9590,羽田空港国際線ビル（モノレール）,35.540833,139.771806
4276,新整備場,35.539497,139.790111
9396,羽田空港第１ビル（モノレール）,35.545581,139.788108
3004,三軒茶屋,35.640858,139.672234
